"word";"pseudo";"random";"foreign";"logFreqW";"logFreqPW";"logFreqRS"
"vriend";"";"dienvr";0;17.5436107252315;NA;9.07337451690302
"reuma";"bluma";"";0;15.0625428517507;14.1939469936845;NA
"mormel";"memmel";"";0;11.2158662307059;12.9784930069846;NA
"hoekjes";"hoepjes";"";0;13.9198705732885;6.14418563412565;NA
"tienen";"lienen";"";0;20.3933719156853;14.1591002623544;NA
"dochter";"bechter";"";0;17.3270559967953;13.3439056473516;NA
"straat";"";"rtatas";0;18.1032265131669;NA;10.0123419574482
"passer";"";"sspare";1;19.9809284121957;NA;14.4935441007142
"moeras";"";"oaresm";0;14.3751263458997;NA;0.693147180559945
"films";"";"fsmil";1;22.4566897291615;NA;9.1204156644482
"ijzers";"";"zsrjei";0;12.9360337992128;NA;0
"mango";"";"oamng";1;20.0674144411302;NA;8.83346272071993
"drums";"";"smdru";1;20.5393429987855;NA;9.44935727244668
"radar";"arder";"";1;20.1922375058629;15.5887665556278;NA
"schapen";"schaben";"";0;15.2879826153252;14.5284603658204;NA
"klomp";"";"lkopm";0;15.07963728511;NA;6.30444880242198
"zweertje";"zweeltje";"";0;9.88837391472608;2.07944154167984;NA
"lijfjes";"lietjes";"";0;10.494048144321;9.40919123072135;NA
"coupons";"cormons";"";1;20.6517698352413;14.5856187796603;NA
"slogan";"";"lasgon";1;19.1720968326363;NA;9.28730141311231
"jeugd";"leuge";"";0;16.8882038726544;12.9263484934784;NA
"shirts";"smirts";"";1;22.4914154405353;12.3883942023241;NA
"mensen";"";"nnemes";0;18.9859945530024;NA;9.04664427930539
"nichten";"kichten";"";1;14.7397694594876;12.7541940540399;NA
"winnaar";"";"nwrinaa";0;16.4545678875795;NA;2.30258509299405
"staking";"stalang";"";1;17.1477150681395;9.37585481045376;NA
"western";"";"tewnrse";1;21.0008975735447;NA;0
"zoontje";"doontje";"";0;14.9692421458535;8.30893825259578;NA
"reistas";"";"etsirsa";0;13.8254608888174;NA;6.70441435496411
"spatels";"";"altesps";0;15.5311086662268;NA;6.92755790627832
"clubs";"";"bulsc";1;22.6148706411442;NA;7.14677217945264
"eisers";"";"sirese";0;12.3327052964635;NA;11.5711943730942
"leners";"";"erslen";0;12.4049235042753;NA;10.2784934531596
"tongen";"";"ennotg";0;14.3693956711907;NA;10.8197782844103
"troep";"";"rteop";0;14.0306219375812;NA;7.57558465155779
"liefde";"";"eliedf";0;17.8585618257988;NA;10.3385114628858
"vodje";"hodje";"";0;15.4699218360411;9.46498259034976;NA
"dansers";"";"snrsade";0;14.8307412376933;NA;0
"reviews";"regiers";"";1;23.0698678153572;14.3751263458997;NA
"ankers";"askers";"";1;18.1836917858161;18.1488720206569;NA
"gidsjes";"wiesjes";"";0;9.44145209293957;7.4500795698075;NA
"leeuwen";"leetten";"";0;16.4182002434087;8.31385226739821;NA
"meesters";"loesters";"";0;17.2266582704796;7.39018142822643;NA
"acteur";"";"ueract";1;19.0833687170276;NA;1.09861228866811
"poezen";"toezen";"";0;14.2472929743898;9.5468126085974;NA
"snavel";"";"asnvel";0;13.9978321147582;NA;7.67786350067821
"botje";"";"objte";0;12.8505546541088;NA;9.43348392329039
"tapes";"sapes";"";1;21.1017022726667;14.7075085972694;NA
"gevaar";"gevard";"";0;16.4545678875795;10.1306231251199;NA
"schepsel";"scheusen";"";0;12.8916915596693;7.1777824161952;NA
"broeken";"";"rebnoke";0;16.700311270811;NA;0
"scanners";"scheners";"";1;19.9336077560056;7.65444322647011;NA
"vaders";"valers";"";0;18.805943144743;12.2500895309469;NA
"serie";"setie";"";1;22.4334536524807;12.4912515877638;NA
"gordel";"";"lrgdoe";0;14.4730305608811;NA;0
"roosters";"";"orsrotes";1;18.8717563633126;NA;1.79175946922805
"pilsje";"";"lpjsie";0;12.3758154201173;NA;6.63331843328038
"muisje";"mussie";"";0;13.9725143067739;13.6423469389551;NA
"fabels";"";"fbesal";0;16.0038065045562;NA;1.6094379124341
"gember";"";"gbemer";0;14.9501332841554;NA;7.31986492980897
"griepje";"grieste";"";0;11.870599909242;11.4595246882431;NA
"oosten";"";"toenso";0;16.5302053017852;NA;12.5208833853702
"sokken";"";"neokks";0;16.5563505818895;NA;1.09861228866811
"pootje";"dootje";"";0;14.6826110456477;10.2784934531596;NA
"ridders";"widders";"";0;16.7058823158604;16.4827387645462;NA
"gezang";"gebans";"";0;13.3613802778748;12.6760762747759;NA
"regie";"hegie";"";1;17.7551487304254;10.9277354259154;NA
"lentes";"";"tlnsee";0;19.4749927737239;NA;7.74932246466036
"pausen";"";"pnseau";1;15.9172027085789;NA;2.07944154167984
"mijlen";"hijlen";"";0;13.4342501385529;8.43163530305459;NA
"kassa";"";"sskaa";0;17.1930980739873;NA;7.95155933115525
"kracht";"";"hktacr";0;17.359364240028;NA;0
"ziener";"";"enzrie";0;15.7556900323106;NA;1.79175946922805
"kapsels";"kessels";"";0;17.2430252479438;17.2936689807626;NA
"latje";"";"tajel";0;11.6868787720937;NA;11.0037651205233
"larve";"";"alrev";1;16.0303567366503;NA;10.0168162378431
"armen";"";"aremn";1;17.7374838942456;NA;9.19927942461676
"forel";"porel";"";0;15.3262324974592;14.5186080693774;NA
"eenden";"";"nenede";0;14.6308753712485;NA;14.6868039239077
"moraal";"";"aromal";0;14.0855376951773;NA;13.1577305212416
"snoetje";"stretje";"";0;11.8350089641393;8.25582842728183;NA
"dader";"mader";"";0;15.7812233343158;16.5168717709157;NA
"party";"";"rptya";1;22.5904419454592;NA;6.30809844150953
"schaapje";"schaakse";"";0;15.8169905581744;8.01301211036892;NA
"muurtjes";"maartjes";"";0;11.9766594812024;15.0304233023285;NA
"kotje";"";"kjeto";0;10.96992094284;NA;7.83201418050547
"portiers";"dorniers";"";1;16.1763645590823;10.7276629955025;NA
"knokkels";"snikkels";"";0;12.4529327234617;12.4950039373824;NA
"smoel";"";"smleo";0;12.6698066617623;NA;8.62335338724463
"gevolg";"";"oveggl";0;17.4765048085887;NA;0
"madam";"katam";"";1;18.7281654437003;13.741864017796;NA
"kijkje";"kijnde";"";0;16.6005218002026;7.39018142822643;NA
"konijn";"kongen";"";0;15.7882017296972;15.5904629088759;NA
"hertog";"";"trhgeo";0;15.4756415847139;NA;0
"zending";"belding";"";0;14.8733008521121;15.4189303980728;NA
"koopjes";"koosjes";"";0;14.408837403242;9.40919123072135;NA
"kuiten";"";"utnkie";0;13.7705131920335;NA;1.79175946922805
"kleintje";"steintje";"";0;14.2979367072086;10.0604913013458;NA
"postuur";"kontuur";"";0;13.5973545481611;12.8815648908514;NA
